latitude;longitude;Название;Описание;Адрес
56.836652;60.61268;Свердловская областная библиотека для детей и молодежи им. В.П. Крапивина;;Свердловская областная библиотека, Карла Либкнехта, 8
56.822091;60.612325;Центральная городская библиотека им. А.И. Герцена;;Чапаева, 5
56.822146;60.612038;Малая Герценка;детская библиотека;Чапаева, 3
56.842603;60.64436;Библиотека №17;;Ленина проспект, 70, 1 этаж
56.834247;60.614907;Свердловская областная универсальная научная библиотека им. В.Г. Белинского;;Белинского, 15
56.830416;60.62171;Екатеринбург;библиотечный центр;Мамина-Сибиряка, 193, 1 этаж
56.890605;60.599469;Библиотека №28 им. А.М. Горького;;Ильича, 20, 1 этаж
56.818093;60.564032;Библиотека №6 им. К.Г. Паустовского;;Белореченская, 26а
56.80337;60.56707;Свердловская областная межнациональная библиотека;;Академика Бардина, 28, цокольный этаж
56.839519;60.590893;Городской библиотечный информационный центр;;Антона Валека, 12
56.812682;60.59757;Свердловская областная специальная библиотека для слепых;;Фрунзе, 78
56.83425;60.616258;Немецкий читальный зал им. Гёте;Свердловская областная универсальная научная библиотека им. В.Г. Белинского;Белинского, 15, 414 офис, 4 этаж
56.839514;60.647289;Библиотека №19 им. А.П. Чехова;;Малышева, 128, 1 этаж
56.888931;60.618421;Детская библиотека №37;;Баумана, 9, 1 этаж
56.838654;60.544354;Библиотека №7;;Фролова, 29, 2 этаж
56.807364;60.627828;Библиотека №26 им. В.Г. Короленко;;Машинная, 38, 1-2 этаж
56.892031;60.630921;Библиотека №40;;Старых Большевиков, 18
56.752878;60.703007;Библиотека №27 им. А.Н. Радищева;;Черняховского, 35, 1 этаж
56.838233;60.629541;Лицей №110 им. Л.К. Гришиной;;Мичурина, 98, 1 этаж
56.810304;60.600975;Детская библиотека №3;;Отто Шмидта, 78, 1 этаж
56.770113;60.611776;Библиотека №31;;Ремесленный переулок, 7
56.802414;60.629747;Детская библиотека №22;;Переходный переулок, 2а, 1 этаж
56.754788;60.702937;Детская библиотека №29 им. А.П. Гайдара;;Грибоедова, 23, 1 этаж
56.831203;60.629157;Библиотека №24;;Бажова, 162, 1 этаж
56.907691;60.801474;Библиотека семейного чтения;;Красных Героев, 7, 1 этаж
56.912963;60.610048;Универсальная библиотека №36;;Космонавтов проспект, 73а, 1 этаж
56.853495;60.604284;Железнодорожный;библиотечный информационный центр;Свердлова, 25, 1 этаж
56.891305;60.593637;Детская библиотека №35;;Стахановская, 5, 1 этаж
56.908658;59.960017;Городская библиотека №1;г. Первоуральск;Вайнера, 13а, 1 этаж
56.839519;60.590893;Муниципальное объединение библиотек г. Екатеринбурга;;Антона Валека, 12
56.903497;60.625117;Дом семьи;библиотека №42;Шефская, 96, 1 этаж
56.867302;60.53866;Библиотека №13 им. Н.В. Гоголя;;Седова проспект, 30, 1 этаж
56.833509;60.69382;Библиотека №21;;40-летия Комсомола, 10, 1 этаж
56.841327;60.622518;Библиотечный информационный центр;Свердловский областной краеведческий музей;Ленина проспект, 69/9, 2 этаж
56.984636;60.560346;Центральная детская библиотека;г. Верхняя Пышма;Уральских Рабочих, 41а, 1 этаж
56.808747;60.71124;Лад;библиотека №25;Лагерная, 1, 1 этаж
56.625584;60.378223;Библиотека №8;с. Курганово;Ленина, 70
56.86285;60.637102;Детская библиотека №18;;Менделеева, 17, 1 этаж
56.908552;60.822939;Центральная городская библиотека;г. Берёзовский;Гагарина, 7, 1 этаж
56.783074;60.639562;Библиотека №23;;Короткий переулок, 12, 1 этаж
56.884055;60.509317;Библиотека №15;;Билимбаевская, 33, 1-2 этаж
56.832326;60.6782;Детская библиотека №20;;Новгородцевой, 17, 1 этаж
56.873459;60.518404;Детская библиотека №11;;Техническая, 81, 1 этаж
56.828196;60.610756;Православный информационно-библиотечный центр;;Куйбышева, 63
56.900562;60.645307;Универсальная библиотека №38;;Ползунова, 28, 1 этаж
56.983839;60.565671;Центральная городская библиотека им. В.В. Волоскова;;Уральских Рабочих, 33, 1 этаж
56.972816;60.572373;Детская библиотека №12;г. Верхняя Пышма;Успенский проспект, 18
56.843792;60.608406;Державная библиотека им. святого Государя Императора Николая II;;Царская, 8
56.887167;60.507909;Ботанический сад УрО РАН;научно-техническая библиотека;Билимбаевская, 32а, 3 этаж
56.832148;60.585426;Библиотека-магазин литературы по архитектуре, дизайну и декору;;Architector, Малышева, 8, 218 помещение, 2 этаж
56.804809;60.557302;Библиотека №4;;Академика Бардина, 19, 1 этаж, 6 подъезд
56.985026;60.455419;Центральная городская библиотека;г. Среднеуральск;ДК Среднеуральск, Набережная, 8а, 3 этаж
56.888219;60.567257;Библиотека №41;;Донбасская, 20, 1 этаж
56.716331;60.787416;Большеистокская сельская библиотека;;Кооперативная, 4
56.73853;60.961249;Белоярская центральная районная библиотека;Косулинский филиал;Уральская, 62, 2 этаж
56.799926;59.934802;Специальная библиотека для слепых;;Ленина, 18, 1 этаж
56.801466;59.907891;Центральная городская детская библиотека им. А.П. Гайдара;;Максима Горького, 24
56.751662;60.618211;Библиотека №30 им. К.Ф. Рылеева;;Колхозников, 52, 1 этаж
56.85495;60.660464;Библиотека №9;;Центр культуры Урал, Студенческая, 3, 1 этаж
56.897915;59.941506;Центральная городская библиотека для детей и юношества №4;г. Первоуральск;Ватутина, 25, 1 этаж
56.651524;60.240658;Библиотека;с. Кунгурка;Рабоче-Крестьянская, 55
56.85572;60.602913;Библиотека;Дворец культуры железнодорожников;ДКЖ, Челюскинцев, 102, 109 кабинет, 1 этаж
56.964051;59.819026;Библиотека №17;пос. Билимбай;Коммуны, 2
56.810852;60.560394;Областная научно-медицинская библиотека;;Волгоградская, 185, 1 этаж
56.970379;60.581729;Центр национальных литератур;библиотека;Красноармейская, 9, 1 этаж
56.761473;60.5706;Библиотека №32 им. Ф.М. Решетникова;;Предельная, 10Б, 1 этаж
56.801523;59.907928;Детская библиотека им. П.П. Бажова;;Максима Горького, 24, 1 этаж
56.722924;60.640038;Библиотека №33;;Адмирала Ушакова, 22, цокольный этаж
56.895051;59.953443;Городская библиотека №6;г. Первоуральск;Трубников, 46а
56.906666;59.942135;Центральная городская библиотека;г. Первоуральск;Ватутина, 47
56.914714;59.923478;Городская библиотека №2;г. Первоуральск;Емлина, 2, 1 этаж
56.800766;59.907599;Центральная городская библиотека им. А.С. Пушкина;;Максима Горького, 30
56.847343;60.243084;Библиотека №9;;Школьная, 1
56.826431;60.669651;Народная библиотека;Екатеринбургская детская школа искусств №1;Байкальская, 46
56.850729;60.653764;Центральная научная библиотека;Уральское отделение РАН;Софьи Ковалевской, 22
56.684681;60.841611;Арамильская центральная городская библиотека;;Ленина, 2г
56.622103;60.206345;Библиотека;пос. Крылатовский;Кунгурская, 42
56.843914;60.620092;Библиотека;Окружной дом офицеров;Окружной дом офицеров, Первомайская, 27
56.800241;59.925067;Городская библиотека №2;г. Ревда;Чехова, 41, 1 этаж
56.638977;60.819792;Сельская библиотека;пос. Октябрьский;Маяковского, 29а
56.668628;60.811666;Сельская библиотека;с. Бородулино;Советская, 11
56.737281;60.970673;Библиотека;Храм во имя святых мучеников Флора и Лавра;Ленина, 38Б/1
56.988829;60.472078;Городская библиотека;г. Среднеуральск;Куйбышева, 6а, 1 этаж
57.001668;60.604858;Библиотека;с. Балтым;Набережная, 4а, 2 этаж
56.891544;60.501475;Православная библиотека;Храм в честь Владимирской иконы Пресвятой Богородицы на Семи Ключах;Шувакишская, 3/4
56.676599;60.808372;Библиотека;с. Патруши;Центр досуга Патрушевский, Колхозная, 23, 2 этаж
56.932214;60.900841;Библиотека №2;;Волкова, 3, 1 этаж
56.970371;60.351039;Исетская поселковая библиотека;;Мира, 20, 2 этаж
56.958303;60.682332;Библиотека;;ДК Садовый, Верстовая, 14, 1 этаж
56.94441;59.761959;Клуб-библиотека №11;пос. Вересовка;Заводская, 15
56.765341;59.894351;Городская библиотека №3;;Лесная, 2
56.795068;59.975912;Городская библиотека №4;;Кирзавод, 3, 1 этаж
56.612161;59.873061;Библиотека;с. Мариинск;Мичурина, 3
56.869487;60.030047;Городская библиотека №8;г. Первоуральск;Совхоз Первоуральский, 3
56.696596;60.086185;Детская библиотека;;Литвинова, 7
56.838908;60.55616;Библиотека;Собор во имя Успения Пресвятой Богородицы;Кирова, 65/7, 1 этаж
56.706569;60.084844;Центральная детская библиотека;г. Дегтярск;Калинина, 5
56.70324;60.844018;Библиотека;г. Арамиль;ДК Арамиль, Рабочая, 120а
