latitude;longitude;Название;Описание;Адрес
56.693376;60.51873;Киоск по продаже фастфудной продукции;;Будённого, 25 киоск
56.830963;60.552087;Киоск по продаже фастфудной продукции;;Крауля, 56 киоск
56.809993;60.622318;Киоск по продаже фастфудной продукции;;Щорса, 52Б
56.816956;60.640389;Киоск по продаже фастфудной продукции;;Мичурина, 230 к7 киоск
56.823918;60.694976;Киоск по продаже фастфудной продукции;;Сибирский тракт дублёр, 10/1 киоск
56.823841;60.695466;Киоск по продаже фастфудной продукции;;Сибирский тракт дублёр, 10/2 киоск
56.82407;60.69419;Киоск по продаже фастфудной продукции;;Сибирский тракт дублёр, 10а киоск
56.823858;60.695267;Киоск по продаже фастфудной продукции;;Сибирский тракт дублёр, 10Б киоск
56.762654;60.807603;Киоск по продаже фастфудной продукции;;Бахчиванджи, 2 лит Е8 киоск
56.903128;60.814805;Киоск по продаже фастфудной продукции;;Строителей, 9а киоск
56.7598;60.819761;Киоск по продаже фастфудной продукции;;Бахчиванджи, 12 киоск
56.759342;60.81946;Киоск по продаже фастфудной продукции;;Бахчиванджи, 14а киоск
56.807762;60.610776;Киоск по продаже фастфудной продукции;;8 Марта, 145 киоск
56.98833;60.463424;Киоск по продаже фастфудной продукции;;Ленина, 6г киоск
56.761145;60.80452;Киоск по продаже фастфудной продукции;;Бахчиванджи, 2а/6 киоск
56.76178;60.805932;Киоск по продаже фастфудной продукции;;Бахчиванджи, 2а/10 киоск
56.761343;60.806139;Киоск по продаже фастфудной продукции;;Бахчиванджи, 2в/8 киоск
56.880908;60.517211;Киоск по продаже фастфудной продукции;;Билимбаевская, 17 киоск
56.892746;59.954351;Киоск по продаже фастфудной продукции;;Гагарина, 1/1 киоск
56.940735;60.671799;Киоск по продаже фастфудной продукции;;Фруктовая, 5 киоск
56.821335;60.498174;Киоск по продаже фастфудной продукции;;Московский тракт 9 км, 14а киоск
56.824059;60.693532;Киоск по продаже фастфудной продукции;;Сибирский тракт дублёр, 10 киоск
56.775629;60.607434;Киоск по продаже фастфудной продукции;;Сухоложская, 12 киоск
56.861083;60.538437;Киоск по продаже фастфудной продукции;;Миномётчиков, 3/2 киоск
56.823036;59.932019;Киоск по продаже фастфудной продукции;;Нахимова, 1/16 киоск
56.784515;60.736885;Киоск по продаже фастфудной продукции;;Варшавская, 26е киоск
56.895177;59.973093;Киоск по продаже фастфудной продукции;;Московское шоссе, 1/1 киоск
56.904488;59.960565;Киоск по продаже фастфудной продукции;;Ильича проспект, 39 киоск
56.903542;59.959745;Киоск по продаже фастфудной продукции;;Ильича проспект, 28в киоск
56.900282;60.76846;Киоск по продаже фастфудной продукции;;Берёзовский тракт, 9 киоск
56.807735;60.610785;Киоск по продаже фастфудной продукции;;8 Марта, 145 киоск
56.868456;60.594734;Киоск по продаже фастфудной продукции;;Артинская, 23д/2
56.89786;59.953342;Киоск по продаже фастфудной продукции;;Трубников, 52 киоск
56.960498;59.81038;Киоск по продаже фастфудной продукции;;Ленина, 161 киоск
56.815476;60.63782;Киоск по продаже фастфудной продукции;;Мичурина, 230/55 киоск
56.828096;60.517879;Киоск по продаже фастфудной продукции;;Металлургов, 70 лит Ю1 киоск
56.815366;60.637892;Киоск по продаже фастфудной продукции;;Мичурина, 230/56 киоск
56.814221;60.638688;Киоск по продаже фастфудной продукции;;Мичурина, 230 к11 киоск
56.898313;59.953245;Киоск по продаже фастфудной продукции;;Трубников, 52/4
56.844003;60.701614;Киоск по продаже фастфудной продукции;;Владимира Высоцкого, 54д киоск
56.761838;60.805241;Киоск по продаже фастфудной продукции;;Бахчиванджи, 2а/12 киоск
56.807288;60.544063;Киоск по продаже фастфудной продукции;;Серафимы Дерябиной, 51а киоск
56.845859;60.603305;Космос;сеть кулинарий;Кинотеатр Космос, Дзержинского, 2, 1 этаж
56.831373;60.588671;Люкс;кулинария;Центральный рынок переулок, 6, 1 этаж
56.826594;60.589013;Знакомая кухня;кулинария;Куйбышева, 21, 1 этаж
56.798098;60.622548;ClearBarn;кафе здорового питания;Юлиуса Фучика, 9, 1 этаж
56.908487;59.954043;Стар;кулинария;Данилова, 2а, 1 этаж
56.820759;60.631198;Кухня у Истоминых;;Большакова, 20
56.845229;60.61793;ЗАПРАВКА;кафе-лапшичная;Луначарского, 80, 1 этаж
56.83318;60.567913;Татищев;кулинария;Мельникова, 27
56.892048;60.594588;Мозаика;кулинария;Кировградская, 36
56.795191;60.49392;СЫТОешка;;Евгения Савкова, 5, 1 этаж
56.825923;60.637251;Пышка;кулинария;Декабристов, 1, 1 этаж
56.829704;60.58528;Кардиган;ресторан быстрого питания;БЦ Парус, Радищева, 28, 2 этаж
56.904648;60.585051;Вкусняшки у Сашки;кондитерская-пекарня;Бакинских Комиссаров, 101
56.784801;60.515812;Антоновка;кулинария;Академика Сахарова проспект, 51, 1 этаж
56.849613;60.596361;Печчини;кофейня-пекарня;Красный переулок, 4, 1 этаж
56.869484;60.553643;Пышка-Екатеринбург;кулинария;Пехотинцев, 5
56.835885;60.582472;Настоящая пекарня;;Ленина проспект, 2
56.834568;60.66121;Магазин-кулинария;;Комсомольская, 76, 1 этаж
56.972637;60.569723;КулинарЪ;сеть магазинов;Успенский проспект, 95, 1 этаж
56.75891;60.81907;Хлебница;пекарня;Бахчиванджи, 14
56.909139;60.592018;Бублик;кулинария;Бакинских Комиссаров, 127, 1 этаж
56.686949;60.51796;Селянка;кулинария;Ленина, 10г
56.833583;60.596483;I Coffee;кофейня;ДЦ Малышева 36, Малышева, 36, 703 офис, 7 этаж
56.810896;60.566597;Мама Грузия;пекарня;Ясная, 31а, 1 этаж
56.876247;60.654944;Мелин;пекарня;Шефская, 3г лит Т
56.830337;60.548275;Уральский Сервис;кулинария;Крауля, 63, 1 этаж
56.779131;60.614725;Лакомов;служба доставки пирогов;Титова, 19 лит Д, 3 этаж
56.80438;60.575158;Золушка;кулинария;Волгоградская, 47, 1 этаж
56.912065;60.597872;Домашняя Трапеза;кулинария;Бакинских Комиссаров, 112
56.897577;60.602368;Фамильная пекарня;;Стахановская, 34
56.734563;60.982784;Корица;кулинария-пекарня;Ленина, 1в
56.995672;60.463585;Ма Ли На;;Ленина, 4, 1 этаж
56.780697;60.533915;Добрый Хлеб;пекарня;Чкалова, 252, 1 этаж, правое крыло
56.906588;59.992609;Аполинария;кулинария;Кольцевая, 7/1
56.863621;60.576662;Пышка;кулинария;Армавирская, 12
56.78617;60.525158;Кулинария;ИП Федотова И.С.;Анатолия Мехренцева, 42, 1 этаж
56.862876;60.639244;Панбулка;кулинария-пекарня;Сулимова, 38, 1 этаж
56.784168;60.73717;Кулинария;ИП Неверовская С.М.;Варшавская, 26, 1 этаж
56.862196;60.605864;М5;кафе;Мельковский переулок, 5 лит К, 1 этаж
56.90919;60.600654;Русские традиции;магазин-кулинария;Новаторов, 8в
56.69515;60.79118;Сытный пончик;магазин-кулинария;Космонавтов, 7
56.868681;60.655452;Вкус Смак;кулинария;Александровская, 2а
56.77145;60.610925;Калинушка+;кулинария;Ремесленный переулок, 6, 1 этаж
56.813999;60.535539;Домашняя кухня;буфет;Зоологическая, 9, 2 этаж
56.877518;60.664406;Наш продукт;;Шефская, 2д/2
56.896973;59.952419;У КЛЕНА;кулинария;Трубников, 48
56.979559;60.482289;КулинарЪ;кулинария;Лесная, 1, 1 этаж
56.81699;60.663336;Тоффи;кондитерская;РЦ Луна, Сибирский тракт, 34Б, 1 этаж
56.683514;60.799864;Сварог;столовая;Пионерская, 41, 1 этаж
56.698;60.832758;Кулинария;;1 Мая, 7, 1 этаж
56.822802;60.611736;Буфет;;Чапаева, 1а
56.90434;59.943339;Уральская кухня;кулинария;Ватутина, 38, 1 этаж
56.840503;60.568827;Буфет;;ДК ВЕК, Долорес Ибаррури, 2е, 5 этаж
56.758829;60.810529;Кулинария;продуктовый магазин;Авиаторов, 14, 1 этаж
56.952902;60.600694;УралПирог;;Безымянный переулок, 1а лит Б, 1 этаж
56.828372;60.617651;Кулинария;УрФУ;УрФУ, Куйбышева, 48
56.890415;60.578565;Кореяна;производственная компания;Культуры, 23, 301 офис, 3 этаж
56.846482;60.557793;Продарсенал;;Колмогорова, 3, 1 этаж
56.758075;60.553578;Синергия;оптово-дистрибьюторская компания;Узорная, 48
56.900825;59.95291;Кулинария;ИП Чистов К.М.;Трубников, 58, 1 этаж
56.776459;60.565659;Буфет;ИП Вотев А.А.;Академика Вонсовского, 1а, 1 этаж
56.891822;60.626599;Домовёнок;кулинария;Баумана, 25, 1 этаж
56.885872;59.893078;Динур;кулинария;Ильича, 6а, 1 этаж
56.90765;59.930943;Провинция;магазин кулинарии;Космонавтов проспект, 7
56.883529;60.010023;Кулинария;;Талица, 5, 1 этаж
56.751109;60.812972;У Михалыча;столовая;Бахчиванджи, 41 лит Ж, 1 этаж
56.954101;59.803775;Кулинария;;Красноармейская, 58а
56.964766;59.819412;Кулинария;;Свободы площадь, 2а
56.84445;60.644396;Буфет;;Гагарина, 14, 1 этаж
56.796765;59.92327;Уралочка;кулинария;Мира, 41, 1 этаж
56.974042;60.580467;Факультет;кулинария;Орджоникидзе, 16а, 1 этаж
56.90588;59.946195;Кулинария;;1 Мая, 9а, 1 этаж
56.864758;60.593212;Вкусно по-домашнему;буфет;Завокзальная, 5а, 1 этаж
56.83737;60.696251;Закусочная;;40-летия Комсомола, 1а/1
56.885468;60.56223;Кулинария;ИП Косарева И.В.;Суворовский переулок, 25
56.755414;60.698853;Олес;кулинария;Бородина, 26
56.888759;60.621601;Бабушкины пироги;закусочная;Бабушкина, 23, 1 этаж
56.833344;60.591133;Космос;сеть кулинарий;Малышева, 21/2, 1 этаж
56.829513;60.611694;Люкс;кулинария;Гоголя, 57, 1 этаж
56.840645;60.610614;ClearBarn;кафе здорового питания;ТЦ Sila Voli, Карла Либкнехта, 23Б, 1 этаж
56.848305;60.615162;Пышка;кулинария;Шевченко, 6, 1 этаж
56.908808;60.819964;Магазин-кулинария;;Анучина, 6, 1 этаж
56.985024;60.555216;КулинарЪ;сеть магазинов;Уральских Рабочих, 44а, 1 этаж
56.782895;60.537793;Елисей;кулинар-кафе;Чкалова, 246, 2 этаж
56.88745;60.615437;Бублик;кулинария;Баумана, 2, 1 этаж
56.896301;60.6403;Русские традиции;магазин-кулинария;Баумана, 58, 1 этаж
56.841593;60.65972;Космос;сеть кулинарий;Комсомольская, 53
56.97541;60.564888;КулинарЪ;сеть магазинов;Успенский проспект, 101, 1 этаж
56.809481;60.616842;Космос;сеть кулинарий;Щорса, 62, 1 этаж
56.978266;60.549626;КулинарЪ;сеть магазинов;Сварщиков, 2а, 1 этаж
56.861692;60.63788;Космос;сеть кулинарий;Менделеева, 11, 1 этаж
56.855472;60.60454;Космос;сеть кулинарий;Свердлова, 66, 1 этаж
56.841786;60.609305;Космос;сеть кулинарий;Толмачёва, 28, 1 этаж
56.900624;60.615855;Космос;сеть кулинарий;Старых Большевиков, 91, 1 этаж
56.839339;60.618247;Космос;сеть кулинарий;Ленина проспект, 48
56.834962;60.595575;Космос;сеть кулинарий;Вайнера, 9а, 1 этаж
56.842852;60.646477;Космос;сеть кулинарий;Гагарина, 33, 1 этаж
56.897939;60.628831;Космос;сеть кулинарий;Красных Командиров, 29, 1 этаж
56.798144;60.633792;Космос;сеть кулинарий;Белинского, 173, 1 этаж
