latitude;longitude;Название;Описание;Адрес
56.807475;60.595987;СТЕЛЛА-ФАРМ;аптека;Щорса, 132, 1 этаж
56.796278;60.512207;Альвиара;аптека;Рябинина, 21, 1 этаж
56.816286;60.610973;ВитаЕ;аптека;Степана Разина, 41, 1 этаж
56.83131;60.624156;Радуга;аптечная сеть;Луначарского, 181, 1 этаж
56.772665;60.59178;Фемили-Фарм;аптека;Палисадная, 12
56.832478;60.582138;Диана;сеть аптек;ТРЦ Алатырь, Малышева, 5, -1 этаж
56.804251;60.611012;А-МЕГА;аптека;8 Марта, 190
56.796131;60.582507;Аптека от склада;;Денисова-Уральского бульвар, 13
56.782712;60.537135;Фармика;аптека;Чкалова, 248
56.800029;60.574212;Аптека;ИП Пестова М.Б.;Академика Бардина, 40/1, 1 этаж
56.823057;60.591094;Фиан;аптека;Шейнкмана, 111
56.823406;60.548512;Аптека Витамин;;Репина, 52, вход с торца
56.830087;60.635667;Октава плюс;аптека;Восточная, 158, 1 этаж
56.823501;60.634433;Медико-фармацевтический центр Гармония;аптека;Тверитина, 16, 1 этаж
56.839024;60.678694;Лекарства Урала;сеть аптек;Владимира Высоцкого, 10, 1 этаж
56.835092;60.594618;Зеленая Аптека;сеть аптек;Попова, 1Б, 1 этаж
56.778286;60.605491;АПТЕКА ПОДОРОЖНИК;;Братская, 5, 3 помещение
56.906216;60.61309;Городские аптеки;;Космонавтов проспект, 53, 1 этаж
56.858773;60.630122;Омнифарм;аптека;Уральская, 57/1, 1 этаж
56.764229;60.598341;Лавита;сеть аптек;Эскадронная, 29, 1 этаж
56.795185;60.569586;Польза;аптека;Решетникова проезд, 22а, 1 этаж, супермаркет Яблоко
56.810394;60.609725;Эдельвейс;аптека;8 Марта, 127, 1 этаж
56.788778;60.531761;Мира;аптечная сеть;Анатолия Мехренцева, 11, 1 этаж
56.866852;60.532598;Линвита-фарм;аптека;Техническая, 34, 1 этаж
56.828049;60.648977;Низкие цены;аптека;Куйбышева, 100, 1 этаж
56.909149;60.599239;Забота;аптека;Новаторов, 10, 1 этаж
56.79799;60.63423;Лерус;аптека;Белинского, 173, 1 этаж
56.843434;60.626621;Кристина;аптека;Первомайская, 56, 1 этаж
56.781484;60.600162;Аптека;Консилиум, консультативно-диагностический центр;Военная, 22
56.991699;60.476738;Аптека24.ру;сеть аптек;Калинина, 2а, 1 этаж
56.862462;60.632846;Аптека низких цен;;Учителей, 6, 1 этаж
56.848656;60.598738;Зверобой;аптека;Красный переулок, 12, 1 этаж
56.856016;60.586454;Домашний доктор;аптека;Стрелочников, 7
56.766572;60.554423;ДНК;аптека;Предельная, 63, 1 этаж
56.837394;60.64709;Преображенская клиника;аптека;Гагарина, 28, 1 этаж
