latitude;longitude;Название;Описание;Адрес
56.897555;60.613657;Twin cup;кофейня;Космонавтов проспект, 31а, 2 этаж
56.827659;60.601818;Melange;кафе;8 Марта, 50, 1 этаж
56.817743;60.609476;Европейская пекарня;сеть кафе-пекарен;Степана Разина, 28, 1 этаж
56.837853;60.601409;Coffee Box;;Ленина проспект, 28, 1 этаж
56.795191;60.49392;СЫТОешка;;Евгения Савкова, 5, 1 этаж
56.834237;60.584797;BoomDonuts;кофейня;Попова, 25, 1 этаж
56.841748;60.636742;Ароматная чашка;кофейня;Ленина проспект, 60, 1 этаж
56.832768;60.590128;Хлебное место;кофейня-пекарня;Сакко и Ванцетти, 61, 1 этаж
56.834103;60.598201;Coffee Box;кофе-бар;Малышева, 31в, 1 этаж
56.837119;60.621964;MOST coffee;кофейня;Луначарского, 137, 1 этаж
56.830116;60.595623;Not Fake! Coffee & Tea;;Радищева, 21
56.828377;60.599475;Coffeeshop Company;венская кофейня;ТРЦ Гринвич, 8 Марта, 46, 0 этаж, напротив гипермаркета Гипербола
56.836774;60.627834;Coffee Flower;эспрессо-бар;Бажова, 127, 1 этаж
56.778341;60.549092;Newton Coffe;кофейня;Краснолесья, 10, 1 этаж
56.796233;60.514806;Ли-Ли;кафе-пекарня;Краснолесья, 161, 1 этаж
56.839489;60.5945;Gud Men;мини-кофейня;Вайнера, 1, 1 этаж
56.840211;60.624441;КОММУНА;кофейня;Ленина проспект, 52/2, 1 этаж, мини-гостиница DoBeDo
56.915699;60.822784;Луч;кофейня;Гагарина, 21
56.849613;60.596361;Печчини;кофейня-пекарня;Красный переулок, 4, 1 этаж
56.831557;60.567197;21cups;кофейня;Мельникова, 38, 1 этаж, слева от кафе ПерекусCity
56.754451;60.70335;Сова;кофейня;Грибоедова, 22, 1 этаж
56.832626;60.582624;Black & White;кофейня;ТРЦ Алатырь, Малышева, 5, -1 этаж
56.913375;60.823807;КОФЕМОЛКА;кофейня;Яблоко, Гагарина, 22, цокольный этаж
56.830555;60.610718;Coffee me;кофейня;БЦ Капитал, Гоголя, 36, 1 этаж
56.816729;60.632558;Герои кофе;кофейня;Ткачей, 21, 1 этаж
56.835885;60.582472;Настоящая пекарня;;Ленина проспект, 2
56.789221;60.51841;Добрый Хлеб;пекарня;Вильгельма де Геннина, 43, 1 этаж
56.82693;60.590799;Лаборатория кофе;кофейня;Сакко и Ванцетти, 102, 1 этаж
56.835991;60.614245;CoffeeBook;кофейня;БЦ Высоцкий, Малышева, 51, 1 этаж
56.827953;60.594246;Проворный бариста;экспресс-кофейня;Хохрякова, 72, 1 этаж
56.842046;60.646167;9 островов;кондитерская-школа;Гагарина, 33
56.854462;60.614862;Cofferia;кофейня;Луначарского, 22, 1 этаж
56.980844;60.561376;Coffesto;кофейня;Юбилейная, 10, 1 этаж
56.812177;60.609082;Чайный домик;интернет-магазин;8 Марта, 121
56.847948;60.615283;Полиарти;арт-кондитерская;Мамина-Сибиряка, 73, 1 этаж
56.844963;60.619206;Atelier Chocolate;шоколадное ателье;Луначарского, 91/1
56.800665;60.593681;Барен-Баден;кофейня;Московская, 198, 1 этаж
56.842658;60.615098;AviCoffee;мини-кофейня;БЦ Вознесенский, Первомайская, 15, 1 этаж
56.833444;60.569524;#Кофебулки;мини-кофейня;Мельникова, 27
56.810439;60.625433;COFFEE & CHOCOLATE;кофейня;Щорса, 38/1, 1 этаж
56.836818;60.655116;Bow Jones Coffee;сеть мини-кофеен;Коминтерна, 16, 1 этаж
56.833727;60.598066;HOME. Coffee & Shop;кофейня;Малышева, 38Б, 1 этаж
56.84252;60.619893;Сэр Вишня;кофейня;Ленина проспект, 69/5, 1 этаж
56.80591;60.559674;Друзья;кофейня;Ясная, 37
56.831459;60.595845;Starbucks;;Вайнера, 40, 6 этаж
56.838071;60.609992;SPITFIRE Coffee;мини-кофейня;Кинотеатр Салют, Толмачёва, 12, 1 этаж
56.838012;60.590319;НОРА;кофейня;Маршала Жукова, 3, правое крыло
56.843264;60.614798;Кофе. Вафли. Блюз.;кофейня;Тургенева, 22, 1 этаж
