latitude;longitude;Название;Описание;Адрес
56.831432;60.588926;Паритет;агентство праздников;Центральный рынок переулок, 6, 207 офис, 2 этаж
56.846158;60.559903;УТРО-ТУР;туристическая компания;Бебеля, 17, 311 офис, 3 этаж
56.844405;60.600584;korporativ66;компания по организации корпоративных и праздничных мероприятий;СК Динамо, Ерёмина, 12, 345 офис, 3 этаж
56.81699;60.663336;Компания по проведению квестов;;РЦ Луна, Сибирский тракт, 34Б, 2 этаж
56.822616;60.543545;Vzaperti;квест-рум;Викулова, 59/2
56.847464;60.606833;Quest Up;компания по организации квестов;Физкультурников, 30
56.80204;60.630801;Квест1.рф;компания по организации квестов;Белинского, 169а, 42 офис, 1 этаж
56.839562;60.585032;Тайное общество;квест-центр;Шейнкмана, 19, цокольный этаж
56.842848;60.624626;Happy Quest;компания по организации квестов для детей и взрослых;Бажова, 78
56.840183;60.593949;Night Kids;клуб авто-квестов;Антона Валека, 12
;;Walking-City;;Екатеринбург
;;Агентство Андрея Алферова;;Екатеринбург
56.799063;59.905804;Stiker label;компания по организации квестов;Мира, 13
;;Гиперион;арт-группа;Екатеринбург
;;Революция;фабрика проектов;Екатеринбург
56.844671;60.590503;NEWTON;научно-развлекательный парк;Президентский Центр, Бориса Ельцина, 3а, 3 этаж
56.827709;60.589483;Ловушка Джокера;компания по организации квестов;Шейнкмана, 75, 1 этаж
56.831998;60.628883;ЛОКАП;компания по организации квестов;Карла Маркса, 60, цокольный этаж
56.816903;60.604215;Авантюра;компания по организации квестов;Большакова, 99а, 1 этаж
56.849768;60.684816;Форт Боярд;;Отдыха, 111/1
56.811212;60.63298;INSIDEQUEST;компания по организации квестов;Щорса, 20, 3 этаж
56.851103;60.603346;ЕКБ КВЕСТ;;Мельковская, 2Б, цокольный этаж
56.832279;60.579722;Кибернетика;компания по организации квестов;Малышева, 1, вход со двора
56.684416;60.499805;Арлекино;Екатеринбургский детский цирк;Аэродром днп, 1887
56.832314;60.601221;Перфоманс;компания по организации квестов;8 Марта, 27
56.848356;60.622445;ЛОКАП;компания по организации квестов;Бажова, 68, цокольный этаж
56.841827;60.659825;Авантюра;компания по организации квестов;Комсомольская, 53, цокольный этаж
56.806269;60.61499;INSIDEQUEST;компания по организации квестов;Степана Разина, 95, 23 офис, 2 этаж
56.833529;60.597257;ЛОКАП;компания по организации квестов;ДЦ Малышева 36, Малышева, 36, цокольный этаж
56.842466;60.659586;Авантюра;компания по организации квестов;Комсомольская, 51, цокольный этаж
56.828229;60.593053;INSIDEQUEST;компания по организации квестов;Хохрякова, 72, 2 этаж, вход со двора
56.862361;60.635188;ЛОКАП;компания по организации квестов;Чекистов, 5, цокольный этаж
56.777179;60.656582;ЛОКАП;компания по организации квестов;Гостиница Уктус, Прониной, 25, цокольный этаж
56.843046;60.62644;ЛОКАП;компания по организации квестов;Первомайская, 56, цокольный этаж
56.829068;60.672897;Тутокруто;интерактивный парк развлечений;КомсоМолл, Сибирский тракт дублёр, 2, 3 этаж
56.793051;60.519971;Fun Jump;активити-парк;ТРЦ Академический, Краснолесья, 133, 4 этаж
56.797006;60.52956;Эльф парк;веревочный парк;Вильгельма де Геннина, 19
56.813888;60.643776;Маугли;веревочный парк;Мичурина, 230 к51
56.785784;60.516644;Аватар;веревочный парк;Академика Сахарова проспект, 68а
56.913709;60.654924;korporativ66;компания по организации корпоративных и праздничных мероприятий;Фрезеровщиков, 200, база отдыха Рыбалка на Калиновке
56.904293;60.560869;ЛУКОМОРЬЕ;развлекательный веревочный парк;Кировградская, 101
56.802583;60.538807;Zip Line;веревочный парк;Начдива Онуфриева, 23а/1
56.774573;60.644716;Белки и бурундуки;веревочный парк;Зимняя, 27/4
56.774343;60.645968;SEQUOIA PARK;веревочный парк;Зимняя, 27
56.902327;59.929668;Улей;веревочный парк;Ильича проспект, 2а/4
56.847732;60.686725;Эльф парк;веревочный парк;Отдыха, 109/1
56.814649;60.536862;Маугли;веревочный парк;Репина, 94а
56.796956;60.618836;Аватар;веревочный парк;Академика Шварца, 1а
56.887502;60.600966;Эльф парк;веревочный парк;Кировградская, 1а/1
56.893351;60.63215;Маугли;веревочный парк;Старых Большевиков, 22Б
56.903943;60.567576;Эльф парк;веревочный парк;АВС-Отель, Республиканская, 1а
56.865387;60.54748;Маугли;веревочный парк;Бебеля, 111в
56.887067;60.682937;Тепло;уют-клуб;Норильская, 80
56.775968;60.68036;Glissando;клубный дом;Рощинская, 69Б
56.850467;60.684496;Кировская;спортивная база;Отдыха, 111
56.774343;60.645968;Уктус;спортивный комплекс;Зимняя, 27
56.78538;60.602725;Мангал;территория отдыха;8 Марта, 212Б
56.914748;60.681685;Мистер Фишер;загородный клуб;Норильская, 82
56.90422;60.567934;Место Встречи;парк отдыха;АВС-Отель, Республиканская, 1а
56.865186;60.691778;Мыс Рундук;база отдыха;Отдыха, 25
56.885887;60.681451;Три Богатыря;оздоровительный комплекс;Норильская, 78
56.797006;60.52956;ПрокаТут;компания по аренде беседок и прокату спортивного инвентаря;Вильгельма де Геннина, 19
56.843915;60.197641;Европа-Азия;кемпинг;Московский тракт 27 км, 1
56.893142;60.495642;Лыжная база на ст. Екатеринбург-сортировочный;;Решётская, 63
56.819815;60.55038;Удачное место;;Огарёва, 23
56.857859;60.174891;Хрустальная;база отдыха;Турбаза Хрустальная, 1
56.740736;60.679935;Нижнеисетская;лыжная база;Стаханова, 65
56.796319;60.470874;Мичуринские пруды;культурно-рыболовный комплекс;7-й участок, 4
56.780083;60.655585;Лайт;гостиничный комплекс;Щербакова, 59
56.830103;60.363449;ЕВРАЗИЯ;загородный парк-отель;Московский тракт 18 км, ст 1
56.712926;60.83031;Арамильская слобода;парк;Пролетарская, 82Б
56.761103;60.698326;Беседки-Екб;;Дагестанская, 2а
56.90652;60.578783;Террасаклаб;гостевой дом;Победы, 129
56.83681;60.135172;Стрелецкий двор;база отдыха;Московский тракт 25 км, 1, 1 этаж
56.815251;60.541216;Компания по аренде теплых беседок;;Репина, 94е
56.958536;60.798204;Лесное озеро;база отдыха;44-й квартал, 10
56.697338;60.465434;Каменные поляны;база отдыха;Садовая, 16
56.745247;60.663519;Динамо;лыжная база;Караванная, 2
56.772092;60.670012;Военно-охотничье общество;межрегиональная общественная организация;Щербакова, 120
56.79169;60.396564;Медная горка;коттедж;Медная горка снт, 1
56.688569;60.884261;Пушкин парк;;Пушкина, 4Б, 2 этаж
56.814034;60.647449;Заимка;территория отдыха;Мичурина, 230 к55
56.744517;60.936071;Короли драйва;компания по прокату и аренде квадроциклов, снегоходов и кроссовых мотоциклов;Булгакова, 2
56.837136;60.559438;Зеленая Горка;база отдыха;Нагорная, 49, 2 офис, 1 этаж
56.763076;60.661841;ЗАРНИЦА;пейнтбольный клуб;Щербакова, 149Б
56.903408;60.577797;На Зеленом;гостевой дом;Зелёный переулок, 13а
56.888971;60.592924;Светлая;база отдыха;Краснознамённая, 5, 3 этаж
56.939081;60.673336;Ягодное;русская баня;Фруктовая, 14а
56.681706;60.13613;Горыныч;драйв-клуб;Полевская, 2
56.918849;60.024655;ГОРА ПИЛЬНАЯ;горнолыжный комплекс;Старателей, 2Б
;;Русский Остров;база отдыха;Екатеринбург
;;Кириешка;дом отдыха;Дегтярск (Дегтярск городской округ)
56.946134;59.884096;Гора Теплая;горнолыжный комплекс;Билимбаевский тракт 6 км, 1
56.802605;60.538736;Место Встречи;парк отдыха;Начдива Онуфриева, 23а/1
56.848469;60.690726;Место Встречи;парк отдыха;Отдыха, 107
56.911036;60.574637;Место Встречи;парк отдыха;Избирателей, 148/1
56.797463;60.581522;Футурамия;парк интерактивных приключений;Экомолл Гранат, Амундсена, 63, 3 этаж
56.80427;60.605002;Наукасити;детский научный центр;Циолковского, 29, 1 этаж
56.825133;60.602995;Информационный центр по атомной энергии;;УрГЭУ, 8 Марта, 62, 1 этаж
56.803771;60.56607;УОЛЕ;галерея уникальных проектов;Академика Бардина, 28, 2 этаж
56.847741;60.622688;Археос;палеопарк;Бажова, 68, 1 этаж
56.82974;60.616153;Эдисон;центр изобретений;Белинского, 56, 209 офис, 2 этаж
56.804419;59.933145;Станция юных техников;детский образовательный центр;Ленина, 38
56.915748;59.93133;Студия анимации;;Ленина, 18Б, 4 этаж
56.827851;60.590956;Наукасити;детский научный центр;Шейнкмана, 75
56.804514;59.933963;Станция юных техников;детский образовательный центр;Комсомольская, 4
56.8023;59.925541;Станция юных техников;детский образовательный центр;Павла Зыкина, 18, 1 этаж
56.830061;60.600709;Kumara;центр паровых коктейлей;8 Марта, 32а
56.83557;60.594501;МЯТА LOUNGE;центр паровых коктейлей;Вайнера, 12, 2 этаж
56.843274;60.6151;Сапфир;;Тургенева, 22, 102, 106 офис, 1, 2 этаж, 2 подъезд
56.835561;60.598312;На Чиле;лаундж-бар;8 Марта, 8г, 1 этаж
56.817084;60.633553;Zaman lounge;центр паровых коктейлей;Ткачей, 21, 1 этаж
56.805745;60.61343;MaxLer;центр паровых коктейлей;Циолковского, 57, справа от магазина Пятерочка
56.840984;60.583955;Taboo lounge;;Шейнкмана, 9, 123 офис, 11 этаж
