latitude;longitude;Название;Описание;Адрес
56.819861;60.618352;Ciao Lola;студия создания образа;Белинского, 108, 117 офис, 9 этаж
56.794439;60.628101;Good Лак;студия красоты;Тбилисский бульвар, 3, 1 этаж
56.834816;60.568909;LADONI;маникюрный дом;Татищева, 47а, 1, 2 этаж
56.88773;60.607962;Studio K;студия красоты;Кузнецова, 2Б, 1011 офис, 10 этаж
56.82758;60.637799;Для своих;парикмахерская;Восточная, 21, 1 этаж
56.804457;60.601389;ЧУВСТВА;студия красоты;ЖК Премьер, Циолковского, 27, 1 этаж
56.824841;60.606775;GossipGirl#Сплетница;салон красоты;Степана Разина, 2, 21 офис, 2 этаж
56.841177;60.617587;Ptichka;салон красоты;Ленина проспект, 53, 1 этаж
56.831665;60.617793;ПЕРСОНА-Екб;имидж-лаборатория;Красноармейская, 66, 1 этаж
56.794609;60.576213;Сияние;салон красоты;Амундсена, 68, 1 этаж
56.819869;60.59028;СтрижемКрасим;салон красоты;Шейнкмана, 122, 1 этаж
56.85611;60.63953;Прима;салон-парикмахерская;Советская, 41, 1 этаж
56.901257;60.618938;Стрижки Ногти;студия;Старых Большевиков, 82/1, 1 этаж
56.832128;60.592584;GB Salon;салон красоты;Хохрякова, 32, 1 этаж
56.786387;60.519615;Маэстро;студия красоты;Павла Шаманова, 9, 1 этаж
56.849121;60.618568;Mademoiselle Beauty Studio;салон красоты;Шевченко, 21, 1 этаж
56.792077;60.615699;Магия красоты;салон-парикмахерская;Крестинского, 27, 1 этаж
56.836959;60.592413;Персона;клиника;Ленина проспект, 22а, 1 этаж
56.807938;60.600097;Зазеркалье;салон-парикмахерская;Сурикова, 50, 1 этаж
56.833313;60.599203;Градива;студия красоты;8 Марта, 12а, 223 кабинет, 2 этаж, 2 подъезд
56.84085;60.583765;iambeautiful;студия красоты;Шейнкмана, 9, 52 офис, 5 этаж, 1 подъезд
56.800936;60.585522;Венеция;сеть салонов красоты;Амундсена, 53, 1 этаж
56.840552;60.645845;Beauty REFORM;студия красоты;Гагарина, 22, 1 этаж
56.834463;60.691517;Милано;салон красоты и здоровья;Сыромолотова, 34, 1 этаж, вход со двора
56.784711;60.545143;BEAUTY ROOM;школа-студия по наращиванию ресниц;Академика Семихатова Н.А. бульвар, 18
56.787411;60.517849;Леди Л;салон красоты;Павла Шаманова, 15, 1 этаж
56.785981;60.51616;Nails Bar for you;студия ногтевого сервиса;Академика Сахарова проспект, 68, 1 этаж
56.796719;60.51461;Molequla beauty lab;салон красоты;Краснолесья, 163, 1 этаж
56.805343;60.613956;COMPLEX;студия красоты;Степана Разина, 122
56.827996;60.608811;Gastronom;маникюрный кабинет;ТК Nautilus, Куйбышева, 61, вход с ул. Куйбышева
56.838818;60.590581;KRASA.Studio;;Антона Валека, 15, 611 офис, 6 этаж
56.844209;60.61589;Голова;парикмахерская;Мамина-Сибиряка, 54, 1 этаж
56.827879;60.607737;ELEMENTICA Beauty Lab;салон красоты;ТК Nautilus, Куйбышева, 61
56.780862;60.675055;Вкус;салон красоты;Рощинская, 48, 1 этаж
56.885345;60.505507;Ежевика;студия красоты;Дружининская, 5Б, 1 этаж
56.835991;60.614245;Avenue 45;салон красоты;БЦ Высоцкий, Малышева, 51, 45/14/2 офис, 45 этаж
