Автовокзал
Академический
Ботанический
Веер
ВИЗ
Вокзальный
Втузгородок
Горный щит
ЖБИ
Завокзальный
Заречный
Изоплит
Исток
Калиновский
Карасьеозерск
Кольцово
Компрессорный
Лечебный
Малый исток
Медный
Н.Cортировка
Нижнеисетский
Парковый
Пионерский
Полеводство
Птицефабрика
Рудный
С.Сортировка
Садовый
Северка
Семь ключей
Сибирский
Синие камни
Совхоз
Солнечный
Уктус
УНЦ
Уралмаш
Химмаш
Чермет
Чусовское озеро
Шабровский
Шарташ
Шарташский р-к
Широкая речка
Шувакиш
Ээльмаш
Ю-З
