latitude,longitude,Название,Описание,Адрес
56.828527,60.610284,Екатеринбургский земско-городской родильный дом,Екатеринбургский земско-городской родильный дом,ул. Декабристов д. 32  
56.828527,60.610284,Дом,Дом в котором находилась подпольная типография Екатеринбургского комитета РСДРП (б),ул. Каляева д. 34
56.828527,60.610284,Дом А.А. Зотова,Дом А.А. Зотова,ул. Карла Либкнехта д. 45 
56.828527,60.610284,Дом А.И. Звонарева,Дом А.И. Звонарева,ул. Карла Маркса д. 4
56.828527,60.610284,Дом О-Р.Ф. Шмидена,Дом О-Р.Ф. Шмидена,ул. Красноармейская д. 37в
56.828527,60.610284,Дом А.И. Меньшиковой,Дом А.И. Меньшиковой,ул. Красноармейская д. 70
56.828527,60.610284,Доходный дом,Доходный дом,ул. Малышева д. 58/37
56.828527,60.610284,Дом П.Е. Загайнова,Дом П.Е. Загайнова,ул. Пушкина д. 5
56.828527,60.610284,Дом А.А. Дрозжилова,Дом А.А. Дрозжилова,ул. Пушкина д. 12
56.828527,60.610284,Полукаменный дом,Полукаменный дом украшенный деревянной резьбой,ул. Радищева д. 8
56.828527,60.610284,Дом купца С.И. Лопатина,Дом купца С.И. Лопатина,ул. Розы Люксембург д. 7
56.828527,60.610284,Дом А.Е. Шубиной,Дом А.Е. Шубиной,ул. Розы Люксембург д. 43
56.828527,60.610284,Усадебный дом в стиле классицизма,Усадебный дом в стиле классицизма,ул. Розы Люксембург д. 62
56.828527,60.610284,Дом Л.Н. Казанцевой,Дом Л.Н. Казанцевой,ул. Розы Люксембург д. 63 
56.828527,60.610284,Дом чиновника Г.В. Уварова,Дом чиновника Г.В. Уварова,ул. Толмачева д. 7
56.828527,60.610284,Дом,Дом в котором жил писатель Д.Н. Мамин-Сибиряк ,ул. Толмачева д. 41
56.828527,60.610284,Дом Д.И. Белоусова,Дом Д.И. Белоусова,ул. Хохрякова д. 9
56.828527,60.610284,Дом мещанина Г.Я. Трусова,Дом мещанина Г.Я. Трусова,ул. Хохрякова д. 31
56.828527,60.610284,Дом И.Е. Шабаргина ,Дом И.Е. Шабаргина ,ул. Хохрякова д. 72
56.828527,60.610284,Дом Я.К. Кривошеина,Дом Я.К. Кривошеина,ул. Щедрина д. 10
56.828527,60.610284,Дом Рязанова,Дом Рязанова,ул. Щедрина д. 18-а
56.828527,60.610284,Дом купца Осокина К.Г.,Дом купца Осокина К.Г.,ул. Энгельса д. 16
56.840911,60.610293,Дом купца Андреева,Дом купца Андреева,ул. Карла Либкнехта д. 25
56.828197,60.610581,Дом Рязанова,Дом Рязанова,ул. Куйбышева д. 63
56.843664,60.610698,Екатеринбургская художественно-промышленная школа,Екатеринбургская художественно-промышленная школа,ул. Карла Либкнехта д. 42
56.842768,60.610707,Здание Свердловской государственной филармонии (бывший Деловой клуб),Здание Свердловской государственной филармонии (бывший Деловой клуб),ул. Карла Либкнехта д. 38а 
56.830256,60.610779,Главный жилой дом усадьбы Рейнфельд,Главный жилой дом усадьбы Рейнфельд,ул. Гоголя д. 42 
56.844663,60.610796,Вознесенская церковь,Вознесенская церковь,Комсомольская пл. 
56.823469,60.610841,Усадьба Казанцевых,Усадьба Казанцевых,ул. Декабристов  д. 36-38
56.841955,60.610994,Дом и фотографический магазин В.Л. Метенкова,Дом и фотографический магазин В.Л. Метенкова,ул. Карла Либкнехта д. 36 
56.823927,60.61112,Усадьба Блохиной,Усадьба Блохиной,ул. Декабристов д. 34 / 66
56.845224,60.611174,Дом Харитонова,Дом Харитонова,ул. Карла Либкнехта д. 44
56.841281,60.611237,Дом Падучевых,Дом Падучевых,ул. Карла Либкнехта д. 32а1
56.841281,60.611237,Дом С.М. Агушевича,Дом С.М. Агушевича,ул. Карла Либкнехта д. 32
56.835092,60.611246,Дом К.В. Лукина,Дом К.В. Лукина,ул. Розы Люксембург д. 19
56.835092,60.611246,Дом К.В. Рейнфельда,Дом К.В. Рейнфельда,ул. Розы Люксембург д. 38/13 
56.821927,60.611416,Дом Афониных,Дом Афониных,ул. Чапаева д. 2
56.836721,60.611659,Усадьба С.А. Строганова,Усадьба С.А. Строганова,ул. Карла Либкнехта д. 5
56.823144,60.611686,Усадьба М.А. Нурова,Усадьба М.А. Нурова,ул. Чапаева д. 1
56.834491,60.611749,Дом жилой,Дом жилой,ул. Розы Люксембург д. 8-10а
56.820986,60.611758,Каменный одноэтажный особняк конца XIX в.,Каменный одноэтажный особняк конца XIX в.,ул. Чапаева д. 10
56.820986,60.611758,Усадьба Ошуркова М.М.,Усадьба Ошуркова М.М.,ул. Чапаева д. 10
56.841852,60.61183,Концертный зал И.З. Маклецкого,Концертный зал И.З. Маклецкого,ул. Первомайская д. 22
56.833614,60.611955,Доходный дом Кузнецовой в стиле модерн,Доходный дом Кузнецовой в стиле модерн,ул. Розы Люксембург д. 16
56.822223,60.612,Усадьба Ошуркова,Усадьба Ошуркова,ул. Чапаева д. 3
56.833476,60.612081,Дом Г.С. Кудрина,Дом Г.С. Кудрина,ул. Розы Люксембург д. 18
56.833186,60.612171,Дом Мевиус В.Ф.,Дом Мевиус В.Ф.,ул. Розы Люксембург д. 20
56.832339,60.612431,Дом А.М. Фомина,Дом А.М. Фомина,ул. Розы Люксембург д. 26
56.821218,60.612476,Усадьба И.Д. Баландина,Усадьба И.Д. Баландина,ул. Чапаева д. 7
56.853745,60.612548,Бюст Д.Н. Мамина – Сибиряка,Бюст Д.Н. Мамина – Сибиряка,ул. Карла Либкнехта д. 8 
56.834634,60.612611,Дом купца Н.Г. Бабикова,Дом купца Н.Г. Бабикова,ул. Розы Люксембург д. 1а
56.834003,60.612692,Дом купца Суслова П.П.,Дом купца Суслова П.П.,ул. Розы Люксембург д. 5
56.82203,60.612692,Усадьба Давыдовых,Усадьба Давыдовых,ул. Чапаева д. 5
56.836928,60.612764,Здание общественное,Здание общественное,ул. Карла Либкнехта д. 8-б
56.831339,60.612836,Здание Русского общества торговли аптекарскими товарами,Здание Русского общества торговли аптекарскими товарами,ул. Розы Люксембург д. 34
56.83614,60.612925,Дом и больница доктора Сяно,Дом и больница доктора Сяно,ул. Карла Либкнехта д. 2
56.836667,60.612952,Бюст В.Г. Белинского,Бюст В.Г. Белинского,ул. Карла Либкнехта д. 8
56.836667,60.612952,Бюст Ф.М. Решетникова,Бюст Ф.М. Решетникова,ул. Карла Либкнехта д. 8 
56.831073,60.612988,Дом Оленева Ф.В.,Дом Оленева Ф.В.,ул. Розы Люксембург д. 36
56.833476,60.612997,Дом Левитских,Дом Левитских,ул. Розы Люксембург д. 9  
56.835062,60.613177,Гостиница «Центральная»,Гостиница «Центральная»,ул. Малышева д. 74 
56.831576,60.613554,Дом,Дом в котором размещались первые из Уральских профсоюзов - Союз металлургов и Союз деревоотделочников,ул. Розы Люксембург д. 27
56.842556,60.613581,Усадьба купца М.О. Назарова ,Усадьба купца М.О. Назарова ,ул. Первомайская д. 11
56.828896,60.613716,Усадьба Н.А. Сусловой,Усадьба Н.А. Сусловой,ул. Розы Люксембург д. 50
56.825089,60.613734,Усадьба,Усадьба,ул. Розы Люксембург д. 62
56.834456,60.613959,Усадьба Г.И. Елизарьева,Усадьба Г.И. Елизарьева,ул. Белинского д. 6
56.844176,60.613985,Дом горного инженера И.И. Редикорцева,Дом горного инженера И.И. Редикорцева,ул. Тургенева д. 28
56.830546,60.614021,Дом Размахина М.Я.,Дом Размахина М.Я.,ул. Розы Люксембург д. 39
56.834156,60.614075,Дом жилой (Товарищество «Уральский старожил»),Дом жилой (Товарищество «Уральский старожил»),ул. Белинского д. 8-10
56.830128,60.614075,Дом А.С. Ягодкиной,Дом А.С. Ягодкиной,ул. Розы Люксембург д. 45
56.843161,60.614183,Дом М.И. Маева,Дом М.И. Маева,ул. Тургенева д. 20
56.833649,60.614264,Дом,Дом в котором в 1906 г. размещалась подпольная типография большевиков,ул. Белинского д. 20
56.842984,60.614291,Дом М.М. Крылова,Дом М.М. Крылова,ул. Тургенева д. 18
56.84263,60.614408,Дом чиновника Я.С. Стахиева ,Дом чиновника Я.С. Стахиева ,ул. Первомайская д. 13/16 
56.825326,60.614435,Усадьба Я.И. Панфилова,Усадьба Я.И. Панфилова бывшая палата мер и весов,ул. Розы Люксембург д. 65-67
56.839173,60.614453,Дом жилой,Дом жилой,пр. Ленина д. 46
56.834964,60.614515,Дом горного землемера Г.С. Ярутина,Дом горного землемера Г.С. Ярутина,ул. Белинского д. 3
56.834639,60.614704,Дом Дьяконовой в духе эклектики,Дом Дьяконовой в духе эклектики,ул. Белинского д. 11
56.83522,60.61474,Дом жилой,Дом жилой,ул. Малышева д. 76 
56.735521,60.61492,Спасская церковь,Спасская церковь,ул. Бисертская д. 12а
56.843442,60.61492,Дом жилой,Дом жилой,ул. Тургенева д. 22
56.829108,60.615028,Дом Шевкуновой Е.И.,Дом Шевкуновой Е.И.,ул. Розы Люксембург д. 51
56.844781,60.615054,Школа,Школа,ул. Клары Цеткин д. 13
56.830699,60.615063,Дом жилой,Дом жилой,ул. Карла Маркса д. 20
56.833767,60.615117,Дом архитектора Григорьева в стиле модерн,Дом архитектора Григорьева в стиле модерн,ул. Белинского д. 19
56.834289,60.615153,Библиотека,Библиотека,ул. Белинского д. 15
56.82336,60.61527,Усадьба Беленкова,Усадьба Беленкова,ул. Розы Люксембург д. 73
56.822656,60.615324,Дом и церковь Троицкая Общества старообрядцев (Австрийская церковь),Дом и церковь Троицкая Общества старообрядцев (Австрийская церковь),ул. Розы Люксембург д. 75
56.829768,60.6158,Особняк Шитиковой,Особняк Шитиковой,ул. Белинского д. 66
56.840419,60.616195,Здание бывшего Совнархоза,Здание бывшего Совнархоза,пр. Ленина д. 51
56.900093,60.616312,Дом жилой. Кинотеатр «Заря»,Дом жилой. Кинотеатр «Заря»,ул. Баумана д. 2
56.900093,60.616312,Дом жилой В.И. Иванова,Дом жилой В.И. Иванова,ул. Пролетарская д. 10
56.83975,60.616465,Памятник Я.М. Свердлову,Памятник Я.М. Свердлову,площадь Парижской Коммуны
56.834801,60.616492,Дом А.Д. Усаниной,Дом А.Д. Усаниной,ул. Красноармейская д. 28
56.837283,60.617112,Здание гостиницы «Большой Урал»,Здание гостиницы «Большой Урал»,ул. Красноармейская д. 1
56.830344,60.617139,Дом А.Д. Андреевой,Дом А.Д. Андреевой,ул. Белинского д. 59
56.820986,60.617615,Никольская старообрядческая церковь,Никольская старообрядческая церковь,ул. Тверитина д. 54/77
56.827862,60.617812,Комплекс жилых зданий,Комплекс жилых зданий,ул. Куйбышева д. 48 
56.831965,60.618387,Усадьба Шумкова,Усадьба Шумкова,ул. Красноармейская д. 37б
56.837273,60.619456,Дом промышленности,Дом промышленности,ул. Мамина-Сибиряка д. 145
56.834161,60.619555,Особняк О-Р-Ф Шмидена,Особняк О-Р-Ф Шмидена,ул. Мамина-Сибиряка д. 114
56.844116,60.619923,Окружной дом офицеров,Окружной дом офицеров,ул. Первомайская д. 27
56.830418,60.620058,Дом,Дом в котором в 1906 г. размещалась подпольная типография большевиков,ул. Красноармейская д. 48
56.833851,60.620507,Усадьба Филитц,Усадьба Филитц,ул. Мамина-Сибиряка д. 187 
56.840729,60.620992,Комплекс зданий «Городок чекиста»,Комплекс зданий «Городок чекиста»,пр. Ленина д. 69
56.839966,60.621954,Клуб строителей (киностудия) ,Клуб строителей (киностудия) ,пр. Ленина д. 50 
56.845933,60.622771,Комплекс зданий бывшего медопивоваренного завода,Комплекс зданий бывшего медопивоваренного завода,ул. Шарташская д. 13
56.836485,60.623032,«Городок юстиции»,«Городок юстиции»,ул. Малышева
56.824424,60.623148,Дом мещанина М.И. Шамшурина,Дом мещанина М.И. Шамшурина,ул. Декабристов д. 41
56.829157,60.623921,Дом Волкова А.А.,Дом Волкова А.А.,ул. Луначарского д. 210
56.841355,60.624298,Комплекс Штаба УРАЛВО,Комплекс Штаба УРАЛВО,пр. Ленина д. 71
56.839848,60.624972,Комплекс зданий,Комплекс зданий,пр. Ленина д. 52-54
56.843846,60.626328,Дом жилой в стиле конструктивизма,Дом жилой в стиле конструктивизма,ул. Первомайская д. 43
56.835865,60.628538,Здание общественное,Здание общественное,ул. Бажова д. 137
56.841123,60.631404,Дом жилой,Дом жилой,пр. Ленина д. 58
56.887079,60.631601,Больница,Больница,ул. Старых большевиков д. 9
56.845091,60.636749,Бани,Бани,ул. Первомайская д. 71
56.841753,60.636875,Дом жилой,Дом жилой,пр. Ленина д. 60
56.824863,60.648193,Церковь,Церковь,Сибирский тракт д. 19
56.780842,60.649271,Преображенская церковь,Преображенская церковь,ул. Походная д. 2
56.843555,60.650277,Бюст дважды Героя Советского Союза М.П. Одинцова,Бюст дважды Героя Советского Союза М.П. Одинцова,площадь им. Кирова
56.850038,60.653871,Здание бывшего лабораторного корпуса Уральского филиала АН СССР,Здание бывшего лабораторного корпуса Уральского филиала АН СССР где работали выдающиеся советские ученые,ул. Софьи Ковалевской д. 20
56.844028,60.654068,Здание Политехнического института,Здание Политехнического института,ул. Мира д. 19
56.778071,60.659458,Школа земская,Школа земская,ул. Щербакова д. 67
56.844638,60.661021,Жилой дом архитектора О. Шоки,Жилой дом архитектора О. Шоки,ул. Комсомольская д. 45/9
56.833161,60.675322,Жилой дом с башенками и деревянной резьбой,Жилой дом с башенками и деревянной резьбой,ул. Куйбышева д. 29
56.833161,60.675322,Дом жилой И.А. Петрова,Дом жилой И.А. Петрова,ул. Малышева д. 41
56.862524,60.688941,Загородная дача (модерн),Загородная дача (модерн),ул. Отдыха д. 55 
56.751978,60.693379,Клуб спортивно-технический,Клуб спортивно-технический,ул. Грибоедова д. 9
56.729072,60.716519,Здание конторы Нижне-Исетского завода,Здание конторы Нижне-Исетского завода,ул. Косарева д. 1-а
56.809507,60.763869,Здание Сибирского торгового банка,Здание Сибирского торгового банка,пр. Ленина д. 27
56.786991,60.775449,Кузнечно-прессовый цех Уралмашзавода,Кузнечно-прессовый цех Уралмашзавода,Уральский завод тяжелого машиностроения
56.783426,60.780614,Усадьба,Усадьба,Сибирский тракт 14 км
56.770248,60.847269,Усадьба И.Л. Фальковского,Усадьба И.Л. Фальковского,ул. Красноармейская д. 18
57.063671,63.01034,Комплекс медопивоваренного завода Гребенькова и Холкина ,Комплекс медопивоваренного завода Гребенькова и Холкина ,ул. Розы Люксембург д. 62
57.436436,63.42291,Дом купца Крутикова Ф.И.,Дом купца Крутикова Ф.И.,ул. Горького д. 41
57.464683,63.614853,Усадьба купца В.С. Потапова ,Усадьба купца В.С. Потапова ,ул. Красноармейская д. 89
61.219881,73.159713,Мост через реку Исеть,Мост через реку Исеть,ул. Декабристов
61.219881,73.159713,Мост через реку Исеть,Мост через реку Исеть,ул. Малышева
61.219881,73.159713,Мост через реку Патрушиха,Мост через реку Патрушиха,ул. Щербакова
